City_ID,City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,32,qaqortoq,60.7167,-46.0333,257.63,67,100,4.82,GL,1706661495
79,33,kavarna,43.4333,28.3333,271.75,77,100,6.39,BG,1706661749
80,34,tromso,69.6496,18.957,275.16,87,100,14.4,NO,1706661749
81,35,anadyr,64.75,177.4833,244.43,76,0,3.0,RU,1706661749
82,36,kodiak,57.79,-152.4072,262.88,41,0,4.12,US,1706661750
83,37,san andres,12.5847,-81.7006,301.16,69,20,3.6,CO,1706661638
84,38,portland,45.5234,-122.6762,288.1,74,75,3.58,US,1706661678
85,39,masterton,-40.9597,175.6575,295.86,68,95,1.73,NZ,1706661750
86,40,thinadhoo,0.5333,72.9333,300.45,77,31,2.18,MV,1706661750
87,41,terbanggi besar,-4.8667,105.2333,298.58,89,100,2.98,ID,1706661751
88,42,utrik,11.2278,169.8474,299.29,75,100,8.02,MH,1706661751
89,43,hawaiian paradise park,19.5933,-154.9731,302.06,74,20,3.6,US,1706661751
90,44,bilibino,68.0546,166.4372,239.84,98,100,0.44,RU,1706661751
91,45,shetpe,44.1667,52.1167,269.67,73,94,6.22,KZ,1706661752
92,46,kuusamo,65.9667,29.1833,270.17,80,0,6.17,FI,1706661752
93,47,yeed,4.55,43.0333,298.03,55,27,5.78,SO,1706661752
94,48,sumqayit,40.5897,49.6686,274.19,78,14,2.27,AZ,1706661752
95,49,vilyuysk,63.7553,121.6247,247.04,99,100,1.34,RU,1706661752
96,50,bodaybo,57.8506,114.1933,231.55,100,81,0.69,RU,1706661753
97,1,nova sintra,14.8667,-24.7167,294.16,63,0,5.09,CV,1706661753
98,2,plastun,44.7561,136.2939,266.87,63,100,0.73,RU,1706661753
99,3,ataq,14.5377,46.8319,289.59,82,81,3.58,YE,1706661753
100,4,zag,46.9441,99.165,245.45,86,36,1.56,MN,1706661753
101,5,feira de santana,-12.2667,-38.9667,297.2,73,0,2.99,BR,1706661754
102,6,alice springs,-23.7,133.8833,307.9,12,84,9.26,AU,1706661635
103,7,bandarbeyla,9.4942,50.8122,297.59,70,100,4.05,SO,1706661754
104,8,lebu,-37.6167,-73.65,288.41,80,0,5.77,CL,1706661754
105,9,severo-yeniseyskiy,60.3725,93.0408,244.03,94,19,1.79,RU,1706661754
106,10,pisco,-13.7,-76.2167,297.18,78,0,8.75,PE,1706661754
107,11,whitehorse,60.7161,-135.0538,274.58,51,20,6.69,CA,1706661464
108,12,port saint john's,-31.6229,29.5448,295.63,93,96,2.81,ZA,1706661755
109,13,manggar,-2.8833,108.2667,300.21,83,100,2.85,ID,1706661755
110,14,lagarto,-10.9172,-37.65,296.16,83,0,1.91,BR,1706661755
111,15,sisimiut,66.9395,-53.6735,252.57,76,100,8.05,GL,1706661485
112,16,heroica ciudad de tlaxiaco,17.2667,-97.6833,287.5,55,70,0.56,MX,1706661755
113,17,port mathurin,-19.6833,63.4167,300.66,80,100,8.81,MU,1706661467
114,18,udachny,66.4167,112.4,246.0,100,98,1.04,RU,1706661472
115,19,pitimbu,-7.4706,-34.8086,299.48,71,0,3.48,BR,1706661756
116,20,hadibu,12.65,54.0333,296.91,77,74,1.82,YE,1706661756
117,21,suntar,62.1444,117.6319,246.3,96,100,2.42,RU,1706661756
118,22,iquique,-20.2208,-70.1431,295.17,82,33,2.0,CL,1706661756
119,23,bredasdorp,-34.5322,20.0403,291.79,95,58,2.22,ZA,1706661756
120,24,hermanus,-34.4187,19.2345,293.6,83,100,4.22,ZA,1706661757
121,25,vila franca do campo,37.7167,-25.4333,288.38,89,69,2.36,PT,1706661757
122,26,kargasok,59.0556,80.8572,259.24,94,100,4.92,RU,1706661502
123,27,neka,36.6508,53.299,277.88,87,100,3.09,IR,1706661757
124,28,kingscliff,-28.2667,153.5667,302.44,65,100,8.23,AU,1706661757
125,29,puerto baquerizo moreno,-0.9,-89.6,298.7,87,88,4.7,EC,1706661744
126,30,polyarnyy,69.1989,33.4478,275.63,78,100,12.67,RU,1706661757
127,31,petropavlovsk-kamchatsky,53.0452,158.6483,257.48,56,40,5.0,RU,1706661758
128,32,luderitz,-26.6481,15.1594,291.69,85,0,3.54,NA,1706661758
129,33,kuloy,61.0305,42.4925,268.76,88,17,3.54,RU,1706661758
130,34,tommot,58.9564,126.2925,238.5,98,82,1.23,RU,1706661758
131,36,prince rupert,54.3161,-130.3201,282.2,76,20,6.69,CA,1706661759
132,37,mandera,3.9366,41.867,300.05,59,54,6.0,KE,1706661759
133,38,voi,-3.3945,38.563,295.37,91,96,1.47,KE,1706661759
134,39,oriximina,-1.7656,-55.8661,297.77,93,100,1.17,BR,1706661759
135,40,kapuskasing,49.4169,-82.4331,274.2,93,100,4.63,CA,1706661759
136,41,rexburg,43.826,-111.7897,281.88,65,0,1.54,US,1706661759
137,42,kamaishi,39.2667,141.8833,280.21,61,100,4.11,JP,1706661759
138,43,bel ombre,-4.6167,55.4167,302.06,74,20,0.0,SC,1706661759
139,44,lusambo,-4.9667,23.45,293.79,99,100,0.17,CD,1706661760
140,45,vorgashor,67.5833,63.95,260.01,95,100,4.95,RU,1706661760
141,46,hami,42.8,93.45,268.83,54,100,2.39,CN,1706661760
142,47,boguchany,58.3814,97.4531,241.4,100,13,0.89,RU,1706661760
143,48,thompson,55.7435,-97.8558,274.24,93,75,1.54,CA,1706661760
144,49,shakawe,-18.3667,21.85,293.42,89,100,2.37,BW,1706661760
145,50,san patricio,28.017,-97.5169,291.12,57,100,2.97,US,1706661760
146,1,bikenibeu village,1.3673,173.1241,303.13,79,75,1.54,KI,1706661760
147,2,serdar,38.9764,56.2757,273.62,74,13,2.57,TM,1706661761
148,3,kapa'a,22.0752,-159.319,298.97,76,75,3.09,US,1706661761
